1698323144412811003	2	4	5	1
1698323144413185724	3	3	1	2
1698323144413282141	2	0	2	1
1698323144413381469	1	3	2	5
1698323144413479262	1	1	2	0
1698323144413514942	2	5	0	0
1698323144413547166	1	6	2	1
1698323144413571582	1	5	2	4
1698323144413703679	1	2	1	5
1698323144413729983	0	0	2	8
1698323144413758847	0	3	3	1
1698323144413777599	2	2	2	0
1698323144413796895	0	4	1	0
1698323144413815775	2	5	2	3
1698323144413849919	2	6	0	2
1698323144413868063	0	4	2	3
1698323144413907744	0	1	1	1
1698323144413940224	2	3	0	0
1698323144413966560	1	1	2	0
1698323144414030208	0	0	5	1
1698323144417991922	4	1	2	2
1698323144422970984	0	1	1	1
1698323144427996286	3	2	0	1
1698323144432987828	1	7	1	5
1698323144437949706	1	1	1	1
1698323144443183265	0	5	0	1
1698323144447967542	4	4	4	2
1698323144452964844	4	2	7	1
1698323144457952578	2	0	5	7
1698323144463143961	4	2	1	5
1698323144467993711	6	0	0	5
1698323144472961348	5	2	0	1
1698323144477971611	3	1	1	5
1698323144482980209	1	1	0	7
1698323144487965511	1	0	1	1
1698323144492951229	4	2	3	2
1698323144497948659	4	2	0	1
1698323144502942377	1	1	3	5
1698323144507941183	1	1	2	1
1698323144512961205	1	3	2	2
1698323144518125932	3	4	2	1
1698323144522975201	3	3	2	2
1698323144527927159	1	2	2	2
1698323144533000782	1	10	0	1
1698323144537979428	0	7	2	1
1698323144543050458	1	1	3	0
1698323144547982192	1	1	1	0
1698323144553077350	3	1	4	2
1698323144558051996	4	7	1	5
1698323144563038291	2	5	0	5
1698323144568055401	1	2	3	4
1698323144573066015	3	0	6	1
1698323144578059573	2	6	2	1
1698323144583075531	1	6	2	3
1698323144588060033	2	1	3	2
1698323144593099447	1	4	7	2
1698323144597991789	2	4	0	2
1698323144603032707	5	1	3	5
1698323144607980633	3	2	1	1
1698323144612960399	1	0	4	6
1698323144618153414	3	1	4	3
1698323144623011676	3	5	3	5
1698323144627980177	2	2	0	2
1698323144633007496	3	1	2	0
1698323144638016126	5	1	2	8
1698323144642956948	0	4	2	10
1698323144648017066	2	2	3	1
1698323144653048000	0	6	5	5
1698323144658119447	0	5	3	1
1698323144663127181	1	3	3	3
1698323144668059939	1	3	1	0
1698323144673085465	2	6	3	1
1698323144678043503	4	5	2	4
1698323144682943940	1	2	2	6
1698323144688362876	1	0	5	2
1698323144693088689	2	1	2	1
1698323144698056423	2	0	1	2
1698323144703077821	0	2	2	4
1698323144708099635	2	1	2	3
1698323144713049001	3	3	1	4
1698323144718009183	0	3	1	3
1698323144722967477	2	5	1	1
1698323144728106860	2	7	0	2
1698323144733071746	0	6	1	4
1698323144738100088	1	2	0	7
1698323144743118126	1	0	0	3
1698323144748039044	2	1	1	2
1698323144753090266	1	4	1	1
1698323144758378418	3	2	1	4
1698323144762961990	1	0	0	6
1698323144768102173	3	3	1	0
1698323144773129107	1	1	0	1
1698323144778023304	0	4	0	1
1698323144783184671	2	5	0	2
1698323144788061045	1	4	0	1
1698323144793083659	5	3	0	2
1698323144798099873	5	1	0	1
1698323144803079479	3	1	0	0
1698323144808050925	3	4	1	4
1698323144813126244	1	7	3	4
1698323144819679232	1	3	2	1
1698323144822989423	3	1	0	2
1698323144828074278	2	1	1	2
1698323144833036380	2	5	1	1
1698323144838039442	0	4	1	0
1698323144843086408	3	4	1	3
1698323144848108382	3	5	0	4
1698323144853027412	1	0	1	5
1698323144858143722	2	4	1	0
1698323144863014368	3	2	3	5
1698323144868139063	1	2	3	1
1698323144873162477	3	4	0	0
1698323144878058530	1	4	0	2
1698323144883127929	3	9	2	0
1698323144888114511	1	3	1	0
1698323144893098437	0	3	1	4
1698323144898432828	0	2	1	3
1698323144902989713	2	1	1	0
1698323144908031367	2	3	4	0
1698323144913255294	1	3	3	3
1698323144918070835	3	2	2	3
1698323144923061641	0	2	4	3
1698323144928076767	2	1	4	5
1698323144932933749	0	1	2	1
1698323144937975467	2	3	1	0
1698323144943061186	2	2	3	6
1698323144948048856	1	1	3	2
1698323144953095086	2	3	1	2
